Tipo de ensayo;"Número de
análisis";Entidad comercial remitente;"Valor obtenido
del ensayo"
Granulometría - Malla 5660 µm;8085;GRANAM;7,40
Granulometría - Malla 5660 µm;8086;GRUPO ALIMENTICIO S.A.;5,30
Granulometría - Malla 5660 µm;8087;GRUPO ALIMENTICIO S.A.;8,60
Granulometría - Malla 5660 µm;8092;ALIMENTOS TANDIL S.A.;7,40
Granulometría - Malla 5660 µm;8107;ALIMENTOS TANDIL S.A.;9,60
Granulometría - Malla 5660 µm;8109;GRANAM;8,20
Granulometría - Malla 5660 µm;8130;GRUPO ALIMENTICIO S.A.;7,90
Granulometría - Malla 5660 µm;8143;GRUPO ALIMENTICIO S.A.;9,40
Granulometría - Malla 5660 µm;8208;GRUPO ALIMENTICIO S.A.;4,80
Granulometría - Malla 5660 µm;8215;GRUPO ALIMENTICIO S.A.;9,30
Granulometría - Malla 5660 µm;8216;GRUPO ALIMENTICIO S.A.;7,50
Granulometría - Malla 5660 µm;8217;GRANAM;9,60
Granulometría - Malla 5660 µm;8236;GRUPO ALIMENTICIO S.A.;9,60
Granulometría - Malla 5660 µm;8237;GRANAM;9,80
Granulometría - Malla 5660 µm;8246;ALIMENTOS TANDIL S.A.;7,60
Granulometría - Malla 5660 µm;8255;GRUPO ALIMENTICIO S.A.;5,60
Granulometría - Malla 5660 µm;8259;GRUPO ALIMENTICIO S.A.;8,00
Granulometría - Malla 5660 µm;8263;ALIMENTOS TANDIL S.A.;3,60
Granulometría - Malla 5660 µm;8264;GRUPO ALIMENTICIO S.A.;5,60
Granulometría - Malla 5660 µm;8266;GRANAM;9,60
Granulometría - Malla 5660 µm;8270;GRANAM;8,60
Granulometría - Malla 5660 µm;8282;GRUPO ALIMENTICIO S.A.;8,60
Granulometría - Malla 5660 µm;8289;GRANAM;7,60
Granulometría - Malla 5660 µm;8292;GRUPO ALIMENTICIO S.A.;8,00
Granulometría - Malla 5660 µm;8301;GRUPO ALIMENTICIO S.A.;4,60
Granulometría - Malla 5660 µm;8302;GRANAM;9,30
Granulometría - Malla 5660 µm;8303;GRANAM;9,30
Granulometría - Malla 5660 µm;8304;GRANAM;8,20
Granulometría - Malla 5660 µm;8309;GRANAM;8,70
Granulometría - Malla 5660 µm;8330;ALIMENTOS TANDIL S.A.;9,70
Granulometría - Malla 5660 µm;8331;GRANAM;9,50
Granulometría - Malla 5660 µm;8339;GRUPO ALIMENTICIO S.A.;9,40
Granulometría - Malla 5660 µm;8340;GRUPO ALIMENTICIO S.A.;5,70
Granulometría - Malla 5660 µm;8341;GRUPO ALIMENTICIO S.A.;8,70
Granulometría - Malla 5660 µm;8343;GRANAM;8,30
Granulometría - Malla 5660 µm;8344;GRANAM;6,50
Granulometría - Malla 5660 µm;8355;GRUPO ALIMENTICIO S.A.;8,50
Granulometría - Malla 5660 µm;8361;GRUPO ALIMENTICIO S.A.;5,50
Granulometría - Malla 5660 µm;8374;GRUPO ALIMENTICIO S.A.;5,50
Granulometría - Malla 5660 µm;8378;GRANAM;9,60
Granulometría - Malla 5660 µm;8386;GRANAM;9,00
Granulometría - Malla 5660 µm;8391;GRUPO ALIMENTICIO S.A.;8,40
Granulometría - Malla 5660 µm;8406;GRUPO ALIMENTICIO S.A.;9,40
Granulometría - Malla 5660 µm;8411;ALIMENTOS TANDIL S.A.;5,50
Granulometría - Malla 5660 µm;8415;GRUPO ALIMENTICIO S.A.;9,50
Granulometría - Malla 5660 µm;8416;GRUPO ALIMENTICIO S.A.;7,00
Granulometría - Malla 5660 µm;8419;GRANAM;9,50
Granulometría - Malla 5660 µm;8436;ALIMENTOS TANDIL S.A.;6,40
Granulometría - Malla 5660 µm;8437;ALIMENTOS TANDIL S.A.;9,70
Granulometría - Malla 5660 µm;8442;GRANAM;6,40
Granulometría - Malla 5660 µm;8446;ALIMENTOS TANDIL S.A.;5,40
Granulometría - Malla 5660 µm;8447;GRANAM;9,50
Granulometría - Malla 5660 µm;8449;GRUPO ALIMENTICIO S.A.;10,00
Granulometría - Malla 5660 µm;8474;GRUPO ALIMENTICIO S.A.;12,40
Granulometría - Malla 5660 µm;8478;ALIMENTOS TANDIL S.A.;10,00
Granulometría - Malla 5660 µm;8481;GRANAM;9,30
Granulometría - Malla 5660 µm;8492;GRUPO ALIMENTICIO S.A.;7,60
Granulometría - Malla 5660 µm;8510;ALIMENTOS TANDIL S.A.;8,70
Granulometría - Malla 5660 µm;8519;GRANAM;15,60
Granulometría - Malla 5660 µm;8548;ALIMENTOS TANDIL S.A.;11,50
Granulometría - Malla 5660 µm;8585;GRANAM;8,10
Granulometría - Malla 5660 µm;8605;GRANAM;8,60
Granulometría - Malla 5660 µm;8606;GRANAM;8,60
Granulometría - Malla 5660 µm;8642;GRUPO ALIMENTICIO S.A.;11,20
Granulometría - Malla 5660 µm;8643;GRUPO ALIMENTICIO S.A.;7,10
Granulometría - Malla 4750 µm;7481;GRUPO ALIMENTICIO S.A.;38,30
Granulometría - Malla 4750 µm;7489;GRUPO ALIMENTICIO S.A.;40,18
Granulometría - Malla 4750 µm;7493;ALIMENTOS TANDIL S.A.;39,80
Granulometría - Malla 4750 µm;7494;GRUPO ALIMENTICIO S.A.;39,50
Granulometría - Malla 4750 µm;7524;GRUPO ALIMENTICIO S.A.;35,80
Granulometría - Malla 4750 µm;7545;GRANAM;53,10
Granulometría - Malla 4750 µm;7547;GRANAM;52,30
Granulometría - Malla 4750 µm;7550;GRANAM;47,00
Granulometría - Malla 4750 µm;7554;GRANAM;44,70
Granulometría - Malla 4750 µm;7555;GRANAM;46,00
Granulometría - Malla 4750 µm;7557;GRANAM;50,00
Granulometría - Malla 4750 µm;7571;GRUPO ALIMENTICIO S.A.;34,50
Granulometría - Malla 4750 µm;7577;GRANAM;42,10
Granulometría - Malla 4750 µm;7581;GRANAM;42,00
Granulometría - Malla 4750 µm;7595;GRANAM;44,60
Granulometría - Malla 4750 µm;7604;GRUPO ALIMENTICIO S.A.;31,10
Granulometría - Malla 4750 µm;7607;GRUPO ALIMENTICIO S.A.;33,10
Granulometría - Malla 4750 µm;7608;GRUPO ALIMENTICIO S.A.;38,90
Granulometría - Malla 4750 µm;7609;GRUPO ALIMENTICIO S.A.;38,30
Granulometría - Malla 4750 µm;7623;GRUPO ALIMENTICIO S.A.;39,10
Granulometría - Malla 4750 µm;7625;GRANAM;46,60
Granulometría - Malla 4750 µm;7631;ALIMENTOS TANDIL S.A.;39,00
Granulometría - Malla 4750 µm;7643;GRUPO ALIMENTICIO S.A.;36,40
Granulometría - Malla 4750 µm;7647;ALIMENTOS TANDIL S.A.;41,00
Granulometría - Malla 4750 µm;7648;GRUPO ALIMENTICIO S.A.;36,20
Granulometría - Malla 4750 µm;7659;GRUPO ALIMENTICIO S.A.;33,10
Granulometría - Malla 4750 µm;7661;ALIMENTOS TANDIL S.A.;45,70
Granulometría - Malla 4750 µm;7663;GRANAM;39,90
Granulometría - Malla 4750 µm;7666;IPCON S.A.;38,40
Granulometría - Malla 4750 µm;7706;ALIMENTOS TANDIL S.A.;49,70
Granulometría - Malla 4750 µm;7727;GRANAM;46,30
Granulometría - Malla 4750 µm;7735;ALIMENTOS TANDIL S.A.;42,50
Granulometría - Malla 4750 µm;7736;GRANAM;42,50
Granulometría - Malla 4750 µm;7740;GRANAM;43,70
Granulometría - Malla 4750 µm;7746;GRANAM;40,20
Granulometría - Malla 4750 µm;7749;GRANAM;39,90
Granulometría - Malla 4750 µm;7753;GRANAM;43,00
Granulometría - Malla 4750 µm;7785;GRANAM;49,60
Granulometría - Malla 4750 µm;7793;GRUPO ALIMENTICIO S.A.;39,50
Granulometría - Malla 4750 µm;7799;GRANAM;48,00
Granulometría - Malla 4750 µm;7807;GRUPO ALIMENTICIO S.A.;35,50
Granulometría - Malla 4750 µm;7808;GRANAM;45,40
Granulometría - Malla 4750 µm;7815;GRUPO ALIMENTICIO S.A.;32,60
Granulometría - Malla 4750 µm;7827;GRANAM;49,40
Granulometría - Malla 4750 µm;7828;GRUPO ALIMENTICIO S.A.;38,90
Granulometría - Malla 4750 µm;7829;GRUPO ALIMENTICIO S.A.;40,20
Granulometría - Malla 4750 µm;7821;GRANAM;48,70
Granulometría - Malla 4750 µm;7832;GRANAM;48,70
Granulometría - Malla 4750 µm;7833;GRUPO ALIMENTICIO S.A.;37,40
Granulometría - Malla 4750 µm;7837;GRUPO ALIMENTICIO S.A.;35,70
Granulometría - Malla 4750 µm;7842;GRUPO ALIMENTICIO S.A.;32,30
Granulometría - Malla 4750 µm;7856;GRUPO ALIMENTICIO S.A.;44,30
Granulometría - Malla 4750 µm;7869;GRUPO ALIMENTICIO S.A.;34,00
Granulometría - Malla 4750 µm;7883;GRUPO ALIMENTICIO S.A.;38,80
Granulometría - Malla 4750 µm;7884;GRUPO ALIMENTICIO S.A.;39,10
Granulometría - Malla 4750 µm;7894;GRANAM;48,50
Granulometría - Malla 4750 µm;7954;GRUPO ALIMENTICIO S.A.;43,00
Granulometría - Malla 4750 µm;7958;GRANAM;52,80
Granulometría - Malla 4750 µm;7989;ALIMENTOS TANDIL S.A.;41,80
Granulometría - Malla 4750 µm;7990;ALIMENTOS TANDIL S.A.;37,80
Granulometría - Malla 4750 µm;7993;GRUPO ALIMENTICIO S.A.;41,90
Granulometría - Malla 4750 µm;8002;GRUPO ALIMENTICIO S.A.;41,30
Granulometría - Malla 4750 µm;8006;GRUPO ALIMENTICIO S.A.;50,00
Granulometría - Malla 4750 µm;8017;GRANAM;44,30
Granulometría - Malla 4750 µm;8026;GRANAM;46,00
Granulometría - Malla 4750 µm;8032;ALIMENTOS TANDIL S.A.;45,70
Granulometría - Malla 4750 µm;8040;GRANAM;49,90
Granulometría - Malla 4750 µm;8046;GRUPO ALIMENTICIO S.A.;43,80
Granulometría - Malla 4750 µm;8048;GRUPO ALIMENTICIO S.A.;44,20
Granulometría - Malla 4750 µm;8052;GRANAM;42,60
Granulometría - Malla 4750 µm;8053;GRUPO ALIMENTICIO S.A.;36,90
Granulometría - Malla 4750 µm;8067;GRUPO ALIMENTICIO S.A.;40,80
Granulometría - Malla 4750 µm;8071;GRUPO ALIMENTICIO S.A.;39,30
Granulometría - Malla 4750 µm;8072;GRUPO ALIMENTICIO S.A.;40,90
Granulometría - Malla 4750 µm;8074;ALIMENTOS TANDIL S.A.;40,30
Granulometría - Malla 4750 µm;8085;GRANAM;42,60
Granulometría - Malla 4750 µm;8086;GRUPO ALIMENTICIO S.A.;38,00
Granulometría - Malla 4750 µm;8087;GRUPO ALIMENTICIO S.A.;37,30
Granulometría - Malla 4750 µm;8092;ALIMENTOS TANDIL S.A.;43,30
Granulometría - Malla 4750 µm;8107;ALIMENTOS TANDIL S.A.;42,70
Granulometría - Malla 4750 µm;8109;GRANAM;46,90
Granulometría - Malla 4750 µm;8130;GRUPO ALIMENTICIO S.A.;37,10
Granulometría - Malla 4750 µm;8143;GRUPO ALIMENTICIO S.A.;37,30
Granulometría - Malla 4750 µm;8208;GRUPO ALIMENTICIO S.A.;35,00
Granulometría - Malla 4750 µm;8215;GRUPO ALIMENTICIO S.A.;40,10
Granulometría - Malla 4750 µm;8216;GRUPO ALIMENTICIO S.A.;40,50
Granulometría - Malla 4750 µm;8217;GRANAM;52,70
Granulometría - Malla 4750 µm;8236;GRUPO ALIMENTICIO S.A.;41,40
Granulometría - Malla 4750 µm;8237;GRANAM;45,50
Granulometría - Malla 4750 µm;8246;ALIMENTOS TANDIL S.A.;46,30
Granulometría - Malla 4750 µm;8255;GRUPO ALIMENTICIO S.A.;39,90
Granulometría - Malla 4750 µm;8259;GRUPO ALIMENTICIO S.A.;38,90
Granulometría - Malla 4750 µm;8263;ALIMENTOS TANDIL S.A.;42,60
Granulometría - Malla 4750 µm;8264;GRUPO ALIMENTICIO S.A.;39,80
Granulometría - Malla 4750 µm;8266;GRANAM;42,80
Granulometría - Malla 4750 µm;8270;GRANAM;40,80
Granulometría - Malla 4750 µm;8282;GRUPO ALIMENTICIO S.A.;37,30
Granulometría - Malla 4750 µm;8289;GRANAM;46,70
Granulometría - Malla 4750 µm;8292;GRUPO ALIMENTICIO S.A.;31,70
Granulometría - Malla 4750 µm;8301;GRUPO ALIMENTICIO S.A.;37,80
Granulometría - Malla 4750 µm;8302;GRANAM;49,30
Granulometría - Malla 4750 µm;8303;GRANAM;49,30
Granulometría - Malla 4750 µm;8304;GRANAM;41,20
Granulometría - Malla 4750 µm;8309;GRANAM;42,90
Granulometría - Malla 4750 µm;8330;ALIMENTOS TANDIL S.A.;45,20
Granulometría - Malla 4750 µm;8331;GRANAM;43,70
Granulometría - Malla 4750 µm;8339;GRUPO ALIMENTICIO S.A.;39,30
Granulometría - Malla 4750 µm;8340;GRUPO ALIMENTICIO S.A.;38,00
Granulometría - Malla 4750 µm;8341;GRUPO ALIMENTICIO S.A.;38,40
Granulometría - Malla 4750 µm;8343;GRANAM;48,00
Granulometría - Malla 4750 µm;8344;GRANAM;50,50
Granulometría - Malla 4750 µm;8355;GRUPO ALIMENTICIO S.A.;38,80
Granulometría - Malla 4750 µm;8361;GRUPO ALIMENTICIO S.A.;43,30
Granulometría - Malla 4750 µm;8374;GRUPO ALIMENTICIO S.A.;36,50
Granulometría - Malla 4750 µm;8378;GRANAM;44,70
Granulometría - Malla 4750 µm;8386;GRANAM;46,30
Granulometría - Malla 4750 µm;8391;GRUPO ALIMENTICIO S.A.;38,20
Granulometría - Malla 4750 µm;8406;GRUPO ALIMENTICIO S.A.;42,40
Granulometría - Malla 4750 µm;8411;ALIMENTOS TANDIL S.A.;46,60
Granulometría - Malla 4750 µm;8415;GRUPO ALIMENTICIO S.A.;41,20
Granulometría - Malla 4750 µm;8416;GRUPO ALIMENTICIO S.A.;38,10
Granulometría - Malla 4750 µm;8419;GRANAM;47,20
Granulometría - Malla 4750 µm;8436;ALIMENTOS TANDIL S.A.;46,40
Granulometría - Malla 4750 µm;8437;ALIMENTOS TANDIL S.A.;45,20
Granulometría - Malla 4750 µm;8442;GRANAM;43,50
Granulometría - Malla 4750 µm;8446;ALIMENTOS TANDIL S.A.;43,20
Granulometría - Malla 4750 µm;8447;GRANAM;42,60
Granulometría - Malla 4750 µm;8449;GRUPO ALIMENTICIO S.A.;41,00
Granulometría - Malla 4750 µm;8474;GRUPO ALIMENTICIO S.A.;35,30
Granulometría - Malla 4750 µm;8478;ALIMENTOS TANDIL S.A.;49,20
Granulometría - Malla 4750 µm;8481;GRANAM;45,50
Granulometría - Malla 4750 µm;8492;GRUPO ALIMENTICIO S.A.;38,30
Granulometría - Malla 4750 µm;8510;ALIMENTOS TANDIL S.A.;43,10
Granulometría - Malla 4750 µm;8519;GRANAM;48,90
Granulometría - Malla 4750 µm;8548;ALIMENTOS TANDIL S.A.;52,90
Granulometría - Malla 4750 µm;8585;GRANAM;43,30
Granulometría - Malla 4750 µm;8605;GRANAM;52,80
Granulometría - Malla 4750 µm;8606;GRANAM;52,80
Granulometría - Malla 4750 µm;8642;GRUPO ALIMENTICIO S.A.;46,60
Granulometría - Malla 4750 µm;8643;GRUPO ALIMENTICIO S.A.;47,50
Granulometría - Malla 4000 µm;7481;GRUPO ALIMENTICIO S.A.;42,70
Granulometría - Malla 4000 µm;7489;GRUPO ALIMENTICIO S.A.;51,10
Granulometría - Malla 4000 µm;7493;ALIMENTOS TANDIL S.A.;46,80
Granulometría - Malla 4000 µm;7494;GRUPO ALIMENTICIO S.A.;50,00
Granulometría - Malla 4000 µm;7524;GRUPO ALIMENTICIO S.A.;49,20
Granulometría - Malla 4000 µm;7545;GRANAM;40,00
Granulometría - Malla 4000 µm;7547;GRANAM;40,00
Granulometría - Malla 4000 µm;7550;GRANAM;45,10
Granulometría - Malla 4000 µm;7554;GRANAM;48,90
Granulometría - Malla 4000 µm;7555;GRANAM;47,00
Granulometría - Malla 4000 µm;7557;GRANAM;43,60
Granulometría - Malla 4000 µm;7571;GRUPO ALIMENTICIO S.A.;50,70
Granulometría - Malla 4000 µm;7577;GRANAM;45,20
Granulometría - Malla 4000 µm;7581;GRANAM;45,70
Granulometría - Malla 4000 µm;7595;GRANAM;43,50
Granulometría - Malla 4000 µm;7604;GRUPO ALIMENTICIO S.A.;51,10
Granulometría - Malla 4000 µm;7607;GRUPO ALIMENTICIO S.A.;51,00
Granulometría - Malla 4000 µm;7608;GRUPO ALIMENTICIO S.A.;48,50
Granulometría - Malla 4000 µm;7609;GRUPO ALIMENTICIO S.A.;49,40
Granulometría - Malla 4000 µm;7623;GRUPO ALIMENTICIO S.A.;45,30
Granulometría - Malla 4000 µm;7625;GRANAM;46,50
Granulometría - Malla 4000 µm;7631;ALIMENTOS TANDIL S.A.;43,70
Granulometría - Malla 4000 µm;7643;GRUPO ALIMENTICIO S.A.;47,10
Granulometría - Malla 4000 µm;7647;ALIMENTOS TANDIL S.A.;47,10
Granulometría - Malla 4000 µm;7648;GRUPO ALIMENTICIO S.A.;49,20
Granulometría - Malla 4000 µm;7659;GRUPO ALIMENTICIO S.A.;50,20
Granulometría - Malla 4000 µm;7661;ALIMENTOS TANDIL S.A.;44,30
Granulometría - Malla 4000 µm;7663;GRANAM;52,10
Granulometría - Malla 4000 µm;7666;IPCON S.A.;48,30
Granulometría - Malla 4000 µm;7706;ALIMENTOS TANDIL S.A.;38,00
Granulometría - Malla 4000 µm;7727;GRANAM;39,00
Granulometría - Malla 4000 µm;7735;ALIMENTOS TANDIL S.A.;47,10
Granulometría - Malla 4000 µm;7736;GRANAM;46,10
Granulometría - Malla 4000 µm;7740;GRANAM;43,40
